Table,Column,Type,Size,Description
PatientOrder,ESignedByStaff_ID,bigint,,Reference to ESignedByStaff
PatientOrder,ESignedDateTime,datetime,,E Signed Date Time
PatientOrder,FillerAppID,varchar,50,Filler App ID
PatientOrder,FillerOrderNumber,varchar,50,Filler Order Number
PatientOrder,FlavoringRequested,bool,,Is Flavoring Requested?
PatientOrder,Frequency_ID,bigint,,Reference to Frequency
PatientOrder,HoldBeginTime,datetime,,Hold Begin Time
PatientOrder,HoldEndTime,datetime,,Hold End Time
PatientOrder,HoldText,varchar,300,Hold Text
PatientOrder,HomeOrder_ID,bigint,,Reference to HomeOrder
PatientOrder,HomeOrigin,varchar,20,Home Origin
PatientOrder,InfuseOver,decimal,"5,2",Infuse Over
PatientOrder,InfuseOverUnits,varchar,10,Infuse Over Units
PatientOrder,InpatientOrder_ID,bigint,,Reference to InpatientOrder
PatientOrder,InterchangeLinks,varchar,100,Interchange Links
PatientOrder,KeepOnPersonAllowed,bool,,Is Keep On Person Allowed?
PatientOrder,KeepOnPersonAllowedDateTime,datetime,,Keep On Person Allowed Date Time
PatientOrder,KeepOnPersonDateTime,datetime,,Keep On Person Date Time
PatientOrder,LastDoseCode,varchar,20,Last Dose Code
PatientOrder,LastDoseDateTime,datetime,,Last Dose Date Time
PatientOrder,LastFillDateTime,datetime,,Last Fill Date Time
PatientOrder,LinkOrder,int,,Link Order
PatientOrder,LinkSet,varchar,20,Link Set
PatientOrder,LinkType,int,,Link Type
PatientOrder,MaintainConcentration,bool,,Is Maintain Concentration?
PatientOrder,MedRecChangeReason,varchar,200,Med Rec Change Reason
PatientOrder,MedRecChangeReasonDateTime,datetime,,Med Rec Change Reason Date Time
PatientOrder,MedRecChangeReasonStaff_ID,bigint,,Reference to MedRecChangeReasonStaff
PatientOrder,MedRecSource,varchar,20,Med Rec Source
PatientOrder,ModalityCode,varchar,20,Modality Code
PatientOrder,ModalityText,varchar,50,Modality Text
PatientOrder,NonCompliant,bool,,Is Non Compliant?
PatientOrder,NotToExceedDailyDoses,int,,Not To Exceed Daily Doses
PatientOrder,Order_ID,bigint,,Reference to Order
PatientOrder,OrderDate,datetime,,Order Date
PatientOrder,OrderGroupNumber,int,,Order Group Number
PatientOrder,OrderingStaff_ID,bigint,,Reference to OrderingStaff
PatientOrder,OrderingStaffSupervisingStaff_ID,bigint,,Reference to OrderingStaffSupervisingStaff
PatientOrder,OrderItem_ID,bigint,,Reference to OrderItem
PatientOrder,OrderItemText,varchar,400,Order Item Text
PatientOrder,OrderPriority,varchar,20,Order Priority
PatientOrder,OrderSet_ID,bigint,,Reference to OrderSet
PatientOrder,OrderSource,varchar,20,Order Source
PatientOrder,OrderStatus,varchar,2,Order Status
PatientOrder,OriginalSource,varchar,20,Original Source
PatientOrder,ParentOrder_ID,bigint,,Reference to ParentOrder
PatientOrder,ParentPlacerAppID,varchar,50,Parent Placer App ID
PatientOrder,ParentPlacerOrderNumber,varchar,50,Parent Placer Order Number
PatientOrder,PatientOrderType,varchar,20,Patient Order Type
PatientOrder,PatientVisit_ID,bigint,,Reference to PatientVisit
PatientOrder,PharmacyNotes,varchar,210,Pharmacy Notes
PatientOrder,PharmacyStaff_ID,bigint,,Reference to PharmacyStaff
PatientOrder,PharmacyVerifiedAtTime,datetime,,Pharmacy Verified At Time
PatientOrder,PharmacyVerifiedByStaff_ID,bigint,,Reference to PharmacyVerifiedByStaff
PatientOrder,PlacerAppID,varchar,50,Placer App ID
PatientOrder,PlacerGroupNumber,varchar,50,Placer Group Number
PatientOrder,PlacerOrderNumber,varchar,50,Placer Order Number
PatientOrder,Prescription,bool,,Is Prescription?
PatientOrder,PrescriptionDeliveryDate,datetime,,Prescription Delivery Date
PatientOrder,PrescriptionDeliveryMethod,varchar,20,Prescription Delivery Method
PatientOrder,PrevStopDateTime,datetime,,Prev Stop Date Time
PatientOrder,PrintedByStaff_ID,bigint,,Reference to PrintedByStaff
PatientOrder,PrintEducationLeaflet,bool,,Is Print Education Leaflet?
PatientOrder,PriorAuthorizationApprovalCode,varchar,50,Prior Authorization Approval Code
PatientOrder,PriorAuthorizationDeadlineDateTime,datetime,,Prior Authorization Deadline Date Time
PatientOrder,PriorAuthorizationMessage,varchar,2000,Prior Authorization Message
PatientOrder,PriorAuthorizationStaff_ID,bigint,,Reference to PriorAuthorizationStaff
PatientOrder,PriorAuthorizationStatus,int,,Prior Authorization Status
PatientOrder,PriorAuthorizationStatusDateTime,datetime,,Prior Authorization Status Date Time
PatientOrder,PriorAuthorizationToken,varchar,2000,Prior Authorization Token
PatientOrder,PriorAuthorizationTokenExpirationDateTime,datetime,,Prior Authorization Token Expiration Date Time
PatientOrder,PriorPatientVisit_ID,bigint,,Reference to PriorPatientVisit
PatientOrder,PRN,bool,,Is PRN?
PatientOrder,Progress,varchar,20,Progress
PatientOrder,ProvidersAdminInstructionText,varchar,2000,Providers Admin Instruction Text
PatientOrder,ProvidersInstructionText,varchar,2000,Providers Instruction Text
PatientOrder,Refills,decimal,"5,2",Refills
PatientOrder,ReorderDateTime,datetime,,Reorder Date Time
PatientOrder,ReportedNoncompliant,bool,,Is Reported Noncompliant?
PatientOrder,RequestedGiveRateAmount,decimal,"7,3",Requested Give Rate Amount
PatientOrder,RequestedGiveRateUnits,varchar,10,Requested Give Rate Units
PatientOrder,ResponsibleStaff_ID,bigint,,Reference to ResponsibleStaff
PatientOrder,RouteCode,varchar,20,Route Code
PatientOrder,RoutingInstructionText,varchar,60,Routing Instruction Text
PatientOrder,RowVersionNumber,int,,Row Version Number
PatientOrder,RxFillIndicator,varchar,20,Rx Fill Indicator
PatientOrder,RxNumber,varchar,30,Rx Number
PatientOrder,ScheduledPrescriptionNumber,varchar,30,Scheduled Prescription Number
PatientOrder,Sig,varchar,1000,Sig
PatientOrder,SortOrder,int,,Sort Order
PatientOrder,StartDateTime,datetime,,Start Date Time
PatientOrder,StartObservation_ID,bigint,,Reference to StartObservation
PatientOrder,StartOperator,varchar,20,Start Operator
PatientOrder,StartTimeOffset,int,,Start Time Offset
PatientOrder,StartTimeOffsetUnits,varchar,10,Start Time Offset Units
PatientOrder,StartValue,varchar,200,Start Value
PatientOrder,StopDateTime,datetime,,Stop Date Time
PatientOrder,SupervisorSignatureDateTime,datetime,,Supervisor Signature Date Time
PatientOrder,SupervisorSignatureRequired,bool,,Is Supervisor Signature Required?
PatientOrder,SupervisorSignatureStaff_ID,bigint,,Reference to SupervisorSignatureStaff
PatientOrder,SyncedToInpatientOrder,bool,,Is Synced To Inpatient Order?
PatientOrder,TargetedCompletionDate,datetime,,Targeted Completion Date
PatientOrder,TimingText,varchar,50,Timing Text
PatientOrder,UnverifiedStopDateTime,datetime,,Unverified Stop Date Time
PatientOrder,UpdatedByStaff_ID,bigint,,Reference to UpdatedByStaff
PatientOrder,UpdatedOnScreen,varchar,50,Updated On Screen
PatientOrder,VarianceCodes,varchar,100,Variance Codes
PatientOrder,VerifiedAtTime,datetime,,Verified At Time
PatientOrder,VerifiedByStaff_ID,bigint,,Reference to VerifiedByStaff

PatientRace,,,,Patient Race
PatientRace,Patient_ID,bigint,,Reference to Patient
PatientRace,PatientRace_ID,bigint,,ID for PatientRace
PatientRace,Race,varchar,20,Race
PatientRace,RowVersionNumber,int,,Row Version Number

PatientRelation,,,,Patient Relation
PatientRelation,AuthorizedRepresentative,bool,,Is Authorized Representative?
PatientRelation,ContactPersonStaff_ID,bigint,,Reference to ContactPersonStaff
PatientRelation,ContactRole,varchar,20,Contact Role
PatientRelation,Guarantor,bool,,Is Guarantor?
PatientRelation,OrganizationStaff_ID,bigint,,Reference to OrganizationStaff
PatientRelation,Patient_ID,bigint,,Reference to Patient
PatientRelation,PatientRelation_ID,bigint,,ID for PatientRelation
PatientRelation,RelatedPatient_ID,bigint,,Reference to RelatedPatient
PatientRelation,Relationship,varchar,20,Relationship
PatientRelation,RowVersionNumber,int,,Row Version Number

PatientSet,,,,Patient Set
PatientSet,BedBoardNotes,varchar,,Bed Board Notes
PatientSet,BedBoardNotesDateTime,datetime,,Bed Board Notes Date Time
PatientSet,Condition_ID,bigint,,Reference to Condition
PatientSet,Facility_ID,bigint,,Reference to Facility
PatientSet,MonitorCountCondition_ID,bigint,,Reference to MonitorCountCondition
PatientSet,MonitorCountConditionSource,varchar,10,Monitor Count Condition Source
PatientSet,MonitorCountLabel,varchar,50,Monitor Count Label
PatientSet,PatientSelectSQL,varchar,,Patient Select SQL
PatientSet,PatientSet_ID,bigint,,ID for PatientSet
PatientSet,PatientSetName,varchar,100,Patient Set Name
PatientSet,RemainInSetAfterDischargeMinutes,int,,Remain In Set After Discharge Minutes
PatientSet,RowVersionNumber,int,,Row Version Number
PatientSet,SortOrder,int,,Sort Order

PatientSetClass,,,,Patient Set Class
PatientSetClass,PatientClass,varchar,20,Patient Class
PatientSetClass,PatientSet_ID,bigint,,Reference to PatientSet
PatientSetClass,PatientSetClass_ID,bigint,,ID for PatientSetClass
PatientSetClass,RowVersionNumber,int,,Row Version Number

PatientSetCondition,,,,Patient Set Condition
PatientSetCondition,Color,varchar,30,Color
PatientSetCondition,Condition_ID,bigint,,Reference to Condition
PatientSetCondition,ConditionOrder,int,,Condition Order
PatientSetCondition,PatientSet_ID,bigint,,Reference to PatientSet
PatientSetCondition,PatientSetCondition_ID,bigint,,ID for PatientSetCondition
PatientSetCondition,RowVersionNumber,int,,Row Version Number

PatientSetCount,,,,Patient Set Count
PatientSetCount,Color,varchar,30,Color
PatientSetCount,PatientSet_ID,bigint,,Reference to PatientSet
PatientSetCount,PatientSetCount_ID,bigint,,ID for PatientSetCount
PatientSetCount,PatientVisitCount,int,,Patient Visit Count
PatientSetCount,RowVersionNumber,int,,Row Version Number

PatientSetDisplayField,,,,Patient Set Display Field
PatientSetDisplayField,DisplayName,varchar,300,Display Name
PatientSetDisplayField,FieldName,varchar,300,Field Name
PatientSetDisplayField,PatientSet_ID,bigint,,Reference to PatientSet
PatientSetDisplayField,PatientSetDisplayField_ID,bigint,,ID for PatientSetDisplayField
PatientSetDisplayField,RowVersionNumber,int,,Row Version Number

PatientSetPCU,,,,Patient Set PCU
PatientSetPCU,PatientSet_ID,bigint,,Reference to PatientSet
PatientSetPCU,PatientSetPCU_ID,bigint,,ID for PatientSetPCU
PatientSetPCU,PCU_ID,bigint,,Reference to PCU
PatientSetPCU,RowVersionNumber,int,,Row Version Number

PatientSetVisit,,,,Patient Set Visit
PatientSetVisit,AddedDateTime,datetime,,Added Date Time
PatientSetVisit,DiscontinuedDateTime,datetime,,Discontinued Date Time
PatientSetVisit,MostRecent,bool,,Is Most Recent?
PatientSetVisit,PatientSet_ID,bigint,,Reference to PatientSet
PatientSetVisit,PatientSetCriteriaMetDateTime,datetime,,Patient Set Criteria Met Date Time
PatientSetVisit,PatientSetCriteriaNotMetDateTime,datetime,,Patient Set Criteria Not Met Date Time
PatientSetVisit,PatientSetVisit_ID,bigint,,ID for PatientSetVisit
PatientSetVisit,PatientVisit_ID,bigint,,Reference to PatientVisit
PatientSetVisit,RowVersionNumber,int,,Row Version Number
PatientSetVisit,VisitStatus,int,,Visit Status

PatientStaff,,,,Patient Staff
PatientStaff,CareBeginDateTime,datetime,,Care Begin Date Time
PatientStaff,CareEndDateTime,datetime,,Care End Date Time
PatientStaff,CareRole,varchar,20,Care Role
PatientStaff,Patient_ID,bigint,,Reference to Patient
PatientStaff,PatientStaff_ID,bigint,,ID for PatientStaff
PatientStaff,RowVersionNumber,int,,Row Version Number
PatientStaff,Staff_ID,bigint,,Reference to Staff

PatientStaffField,,,,Patient Staff Field
PatientStaffField,FieldValue,varchar,1000,Field Value
PatientStaffField,PatientStaff_ID,bigint,,Reference to PatientStaff
PatientStaffField,PatientStaffField_ID,bigint,,ID for PatientStaffField
PatientStaffField,RowVersionNumber,int,,Row Version Number
PatientStaffField,UserDefinedField_ID,bigint,,Reference to UserDefinedField

PatientVisit,,,,Patient Visit
PatientVisit,_AssignedOrPriorLocation_ID,bigint,,Reference to _AssignedOrPriorLocation
PatientVisit,_DischargeDateTimeSearch,datetime,,denormalized Discharge Date Time Search
PatientVisit,AddedOnDateTime,datetime,,Added On Date Time
PatientVisit,AdmissionOrdersSynced,bool,,Is Admission Orders Synced?
PatientVisit,AdmissionSource,varchar,20,Admission Source
PatientVisit,AdmissionType,varchar,20,Admission Type
PatientVisit,AdmitDateTime,datetime,,Admit Date Time
PatientVisit,AdmitDisposition,varchar,20,Admit Disposition
PatientVisit,AdmitDispositionDate,datetime,,Admit Disposition Date
PatientVisit,AmbulatoryStatus,varchar,5,Ambulatory Status
PatientVisit,AssignedLocation_ID,bigint,,Reference to AssignedLocation
PatientVisit,Comments,varchar,2000,Comments
PatientVisit,ConversionFlags,varchar,200,Conversion Flags
PatientVisit,CurrentMedRecTransferNumber,int,,Current Med Rec Transfer Number
PatientVisit,DietType,varchar,5,Diet Type
PatientVisit,DischargeDateTime,datetime,,Discharge Date Time
PatientVisit,DischargeDisposition,varchar,20,Discharge Disposition
PatientVisit,DischargedToLocation,varchar,5,Discharged To Location
PatientVisit,DisconnectMachine_ID,bigint,,Reference to DisconnectMachine
PatientVisit,EducationProvidedDate,datetime,,Education Provided Date
PatientVisit,Facility_ID,bigint,,Reference to Facility
PatientVisit,HospitalService,varchar,50,Hospital Service
PatientVisit,MergedToPatientVisit_ID,bigint,,Reference to MergedToPatientVisit
PatientVisit,NewbornIndicator,bool,,Is Newborn Indicator?
PatientVisit,Patient_ID,bigint,,Reference to Patient
PatientVisit,PatientClass,varchar,20,Patient Class
PatientVisit,PatientType,varchar,5,Patient Type
PatientVisit,PatientVisit_ID,bigint,,ID for PatientVisit
PatientVisit,PlannedDischargeDateTime,datetime,,Planned Discharge Date Time
PatientVisit,PriorLocation_ID,bigint,,Reference to PriorLocation
PatientVisit,PriorTempLocation_ID,bigint,,Reference to PriorTempLocation
PatientVisit,ProfileReviewMessage,varchar,200,Profile Review Message
PatientVisit,ProfileReviewNeeded,bool,,Is Profile Review Needed?
PatientVisit,ProximityDeviceRefused,bool,,Is Proximity Device Refused?
PatientVisit,RelationVisit,bool,,Is Relation Visit?
PatientVisit,RowVersionNumber,int,,Row Version Number
PatientVisit,StaffVisit,bool,,Is Staff Visit?
PatientVisit,Tag,varchar,20,Tag
PatientVisit,Tag2,varchar,20,Tag2
PatientVisit,Tag3,varchar,20,Tag3
PatientVisit,Tag4,varchar,20,Tag4
PatientVisit,Tag5,varchar,20,Tag5
PatientVisit,TempLocation_ID,bigint,,Reference to TempLocation
PatientVisit,UserDefinedFields,varchar,2000,User Defined Fields
PatientVisit,VIPIndicator,varchar,5,VIP Indicator
PatientVisit,VisitNumber,varchar,20,Visit Number
PatientVisit,VisitProtectionIndicator,varchar,5,Visit Protection Indicator
PatientVisit,VisitPublicity,varchar,5,Visit Publicity

Payment,,,,Payment
Payment,ConfirmedByStaff_ID,bigint,,Reference to ConfirmedByStaff
Payment,ConfirmedDateTime,datetime,,Confirmed Date Time
Payment,EnteredAtTime,datetime,,Entered At Time
Payment,EnteredByStaff_ID,bigint,,Reference to EnteredByStaff
Payment,InsuranceCompany_ID,bigint,,Reference to InsuranceCompany
Payment,Patient_ID,bigint,,Reference to Patient
Payment,Payer,varchar,50,Payer
Payment,Payment_ID,bigint,,ID for Payment
Payment,PaymentAmount,numeric,,Payment Amount
Payment,PaymentDate,datetime,,Payment Date
Payment,ReferenceNumber,varchar,20,Reference Number
Payment,RowVersionNumber,int,,Row Version Number

PBMClassification,,,,PBM Classification
PBMClassification,ClassificationID,varchar,10,Classification ID
PBMClassification,PBMClassification_ID,bigint,,ID for PBMClassification
PBMClassification,RowVersionNumber,int,,Row Version Number

PBMCopay,,,,PBM Copay
PBMCopay,CopayID,varchar,40,Copay ID
PBMCopay,EffectiveDate,datetime,,Effective Date
PBMCopay,PBMCopay_ID,bigint,,ID for PBMCopay
PBMCopay,RowVersionNumber,int,,Row Version Number

PBMCoverage,,,,PBM Coverage
PBMCoverage,CoverageID,varchar,40,Coverage ID
PBMCoverage,EffectiveDate,datetime,,Effective Date
PBMCoverage,PBMCoverage_ID,bigint,,ID for PBMCoverage
PBMCoverage,RowVersionNumber,int,,Row Version Number

PBMCoverageType,,,,PBM Coverage Type
PBMCoverageType,CoverageType,varchar,20,Coverage Type
PBMCoverageType,Gender,varchar,20,Gender
PBMCoverageType,MaximumAge,int,,Maximum Age
PBMCoverageType,MaximumAgeQualifier,varchar,20,Maximum Age Qualifier
PBMCoverageType,MaximumAmount,decimal,"12,3",Maximum Amount
PBMCoverageType,MaximumAmountQualifier,varchar,20,Maximum Amount Qualifier
PBMCoverageType,MaximumAmountTimePeriod,varchar,20,Maximum Amount Time Period
PBMCoverageType,MaximumAmountTimePeriodEnd,datetime,,Maximum Amount Time Period End
PBMCoverageType,MaximumAmountTimePeriodNumberOfUnits,int,,Maximum Amount Time Period Number Of Units
PBMCoverageType,MaximumAmountTimePeriodStart,datetime,,Maximum Amount Time Period Start
PBMCoverageType,MessageLong,varchar,200,Message Long
PBMCoverageType,MessageShort,varchar,100,Message Short
PBMCoverageType,MinimumAge,int,,Minimum Age
PBMCoverageType,MinimumAgeQualifier,varchar,20,Minimum Age Qualifier
PBMCoverageType,PBMCoverageType_ID,bigint,,ID for PBMCoverageType
PBMCoverageType,ResourceLinkType,varchar,20,Resource Link Type
PBMCoverageType,RowVersionNumber,int,,Row Version Number
PBMCoverageType,StepNumberToTry,int,,Step Number To Try
PBMCoverageType,URL,varchar,300,URL

PBMFormulary,,,,PBM Formulary
PBMFormulary,EffectiveDate,datetime,,Effective Date
PBMFormulary,FormularyID,varchar,10,Formulary ID
PBMFormulary,FormularyName,varchar,35,Formulary Name
PBMFormulary,NonListedOTCBrandFormularyStatus,varchar,20,Non Listed OTC Brand Formulary Status
PBMFormulary,NonListedOTCGenericFormularyStatus,varchar,20,Non Listed OTC Generic Formulary Status
PBMFormulary,NonListedRxBrandFormularyStatus,varchar,20,Non Listed Rx Brand Formulary Status
PBMFormulary,NonListedRxGenericFormularyStatus,varchar,20,Non Listed Rx Generic Formulary Status
PBMFormulary,NonListedSuppliesFormularyStatus,varchar,20,Non Listed Supplies Formulary Status
PBMFormulary,PBMFormulary_ID,bigint,,ID for PBMFormulary
PBMFormulary,RelativeCostLimit,int,,Relative Cost Limit
PBMFormulary,RowVersionNumber,int,,Row Version Number

PBMFormularyAlternative,,,,PBM Formulary Alternative
PBMFormularyAlternative,AlternativeID,varchar,10,Alternative ID
PBMFormularyAlternative,EffectiveDate,datetime,,Effective Date
PBMFormularyAlternative,PBMFormularyAlternative_ID,bigint,,ID for PBMFormularyAlternative
PBMFormularyAlternative,RowVersionNumber,int,,Row Version Number

PCUShift,,,,PCU Shift
PCUShift,PCU_ID,bigint,,Reference to PCU
PCUShift,PCUShift_ID,bigint,,ID for PCUShift
PCUShift,RowVersionNumber,int,,Row Version Number
PCUShift,Shift_ID,bigint,,Reference to Shift

PerformanceMetricValue,,,,Performance Metric Value
PerformanceMetricValue,Application,varchar,30,Application
PerformanceMetricValue,BeginDateTime,datetime,,Begin Date Time
PerformanceMetricValue,EndDateTime,datetime,,End Date Time
PerformanceMetricValue,Facility_ID,bigint,,Reference to Facility
PerformanceMetricValue,Machine_ID,bigint,,Reference to Machine
PerformanceMetricValue,PatientVisit_ID,bigint,,Reference to PatientVisit
PerformanceMetricValue,PerformanceMetricCode,varchar,20,Performance Metric Code
PerformanceMetricValue,PerformanceMetricValue_ID,bigint,,ID for PerformanceMetricValue
PerformanceMetricValue,Session_ID,bigint,,Reference to Session
PerformanceMetricValue,Staff_ID,bigint,,Reference to Staff
PerformanceMetricValue,TotalMilliseconds,int,,Total Milliseconds
PerformanceMetricValue,Viewed_ID,bigint,,Reference to Viewed
PerformanceMetricValue,ViewedName,varchar,50,Viewed Name

Process,,,,Process
Process,Process_ID,bigint,,ID for Process
Process,ProcessName,varchar,100,Process Name
Process,ProcessStatus,varchar,30,Process Status
Process,ProcessStatusMessage,varchar,2000,Process Status Message
Process,ProcessStatusTime,datetime,,Process Status Time
Process,RowVersionNumber,int,,Row Version Number

ProductAllergyCategory,,,,Product Allergy Category
ProductAllergyCategory,AllergyCategory,varchar,20,Allergy Category
ProductAllergyCategory,NamedProduct_ID,bigint,,Reference to NamedProduct
ProductAllergyCategory,ProductAllergyCategory_ID,bigint,,ID for ProductAllergyCategory
ProductAllergyCategory,RowVersionNumber,int,,Row Version Number

ProductClassification,,,,Product Classification
ProductClassification,Classification,varchar,200,Classification
ProductClassification,ClassificationSystem,varchar,20,Classification System
ProductClassification,KeepInSyncWithClinicalDatabase,bool,,Is Keep In Sync With Clinical Database?
ProductClassification,NamedProduct_ID,bigint,,Reference to NamedProduct
ProductClassification,PrimaryForSystem,bool,,Is Primary For System?
ProductClassification,ProductClassification_ID,bigint,,ID for ProductClassification
ProductClassification,RowVersionNumber,int,,Row Version Number

ProductClassificationIdentifier,,,,Product Classification Identifier
ProductClassificationIdentifier,ClinicalDatabaseName,varchar,20,Clinical Database Name
ProductClassificationIdentifier,Facility_ID,bigint,,Reference to Facility
ProductClassificationIdentifier,Identifier,varchar,100,Identifier
ProductClassificationIdentifier,IdentifierType,varchar,20,Identifier Type
ProductClassificationIdentifier,IsPrimary,bool,,Is Is Primary?
ProductClassificationIdentifier,ProductClassification_ID,bigint,,Reference to ProductClassification
ProductClassificationIdentifier,ProductClassificationIdentifier_ID,bigint,,ID for ProductClassificationIdentifier
ProductClassificationIdentifier,RowVersionNumber,int,,Row Version Number

ProductCodeMap,,,,Product Code Map
ProductCodeMap,Code,varchar,100,Code
ProductCodeMap,CodingSystem,varchar,20,Coding System
ProductCodeMap,Description,varchar,300,Description
ProductCodeMap,DispensableProduct_ID,bigint,,Reference to DispensableProduct
ProductCodeMap,NamedProduct_ID,bigint,,Reference to NamedProduct
ProductCodeMap,PackagedProduct_ID,bigint,,Reference to PackagedProduct
ProductCodeMap,RoutedProduct_ID,bigint,,Reference to RoutedProduct

ProductComponent,,,,Product Component
ProductComponent,ComponentNamedProduct_ID,bigint,,Reference to ComponentNamedProduct
ProductComponent,NamedProduct_ID,bigint,,Reference to NamedProduct
ProductComponent,ProductComponent_ID,bigint,,ID for ProductComponent
ProductComponent,RowVersionNumber,int,,Row Version Number

ProductDescriptionMapping,,,,Product Description Mapping
ProductDescriptionMapping,ProductCode,varchar,20,Product Code
ProductDescriptionMapping,ProductCodingSystem,varchar,20,Product Coding System
ProductDescriptionMapping,ProductDescription,varchar,2000,Product Description
ProductDescriptionMapping,ProductDescriptionMapping_ID,bigint,,ID for ProductDescriptionMapping
ProductDescriptionMapping,RowVersionNumber,int,,Row Version Number

ProductDispenseAmount,,,,Product Dispense Amount
ProductDispenseAmount,DispenseAmountText,varchar,50,Dispense Amount Text
ProductDispenseAmount,ProductDispenseAmount_ID,bigint,,ID for ProductDispenseAmount
ProductDispenseAmount,RoutedProduct_ID,bigint,,Reference to RoutedProduct
ProductDispenseAmount,RowVersionNumber,int,,Row Version Number

ProductDose,,,,Product Dose
ProductDose,DoseText,varchar,50,Dose Text
ProductDose,ProductDose_ID,bigint,,ID for ProductDose
ProductDose,RoutedProduct_ID,bigint,,Reference to RoutedProduct
ProductDose,RowVersionNumber,int,,Row Version Number

ProductDuplicationCategory,,,,Product Duplication Category
ProductDuplicationCategory,DuplicationCategory,varchar,20,Duplication Category
ProductDuplicationCategory,NamedProduct_ID,bigint,,Reference to NamedProduct
ProductDuplicationCategory,ProductDuplicationCategory_ID,bigint,,ID for ProductDuplicationCategory
ProductDuplicationCategory,RowVersionNumber,int,,Row Version Number

ProductFrequency,,,,Product Frequency
ProductFrequency,FrequencyCode,varchar,100,Frequency Code
ProductFrequency,ProductFrequency_ID,bigint,,ID for ProductFrequency
ProductFrequency,RoutedProduct_ID,bigint,,Reference to RoutedProduct
ProductFrequency,RowVersionNumber,int,,Row Version Number

ProductIdentifier,,,,Product Identifier
ProductIdentifier,Identifier,varchar,100,Identifier
ProductIdentifier,IdentifierType,varchar,4,Identifier Type
ProductIdentifier,PackagedProduct_ID,bigint,,Reference to PackagedProduct
ProductIdentifier,ProductIdentifier_ID,bigint,,ID for ProductIdentifier
ProductIdentifier,RowVersionNumber,int,,Row Version Number

ProductInteraction,,,,Product Interaction
ProductInteraction,Citation,varchar,2000,Citation
ProductInteraction,Developer,varchar,2000,Developer
ProductInteraction,ExcludeFromAlerts,bool,,Is Exclude From Alerts?
ProductInteraction,FundingSource,varchar,2000,Funding Source
ProductInteraction,InteractionText,varchar,,Interaction Text
ProductInteraction,KeepInSyncWithClinicalDatabase,bool,,Is Keep In Sync With Clinical Database?
ProductInteraction,ProductInteraction_ID,bigint,,ID for ProductInteraction
ProductInteraction,RecommendedAction,varchar,20,Recommended Action
ProductInteraction,ReleaseDate,datetime,,Release Date
ProductInteraction,RevisionDate,datetime,,Revision Date
ProductInteraction,RowVersionNumber,int,,Row Version Number
ProductInteraction,Severity,varchar,20,Severity

ProductInteractionIdentifier,,,,Product Interaction Identifier
ProductInteractionIdentifier,ClinicalDatabaseName,varchar,20,Clinical Database Name
ProductInteractionIdentifier,Facility_ID,bigint,,Reference to Facility
ProductInteractionIdentifier,Identifier,varchar,100,Identifier
ProductInteractionIdentifier,IdentifierType,varchar,20,Identifier Type
ProductInteractionIdentifier,IsPrimary,bool,,Is Is Primary?
ProductInteractionIdentifier,ProductInteraction_ID,bigint,,Reference to ProductInteraction
ProductInteractionIdentifier,ProductInteractionIdentifier_ID,bigint,,ID for ProductInteractionIdentifier
ProductInteractionIdentifier,RowVersionNumber,int,,Row Version Number

ProductLeaflet,,,,Product Leaflet
ProductLeaflet,KeepInSyncWithClinicalDatabase,bool,,Is Keep In Sync With Clinical Database?
ProductLeaflet,LanguageCode,varchar,20,Language Code
ProductLeaflet,LeafletXML,varchar,,Leaflet XML
ProductLeaflet,ProductLeaflet_ID,bigint,,ID for ProductLeaflet
ProductLeaflet,RoutedProduct_ID,bigint,,Reference to RoutedProduct
ProductLeaflet,RowVersionNumber,int,,Row Version Number

ProductLeafletIdentifier,,,,Product Leaflet Identifier
ProductLeafletIdentifier,ClinicalDatabaseName,varchar,20,Clinical Database Name
ProductLeafletIdentifier,Facility_ID,bigint,,Reference to Facility
ProductLeafletIdentifier,Identifier,varchar,100,Identifier
ProductLeafletIdentifier,IdentifierType,varchar,20,Identifier Type
ProductLeafletIdentifier,IsPrimary,bool,,Is Is Primary?
ProductLeafletIdentifier,ProductLeaflet_ID,bigint,,Reference to ProductLeaflet
ProductLeafletIdentifier,ProductLeafletIdentifier_ID,bigint,,ID for ProductLeafletIdentifier
ProductLeafletIdentifier,RowVersionNumber,int,,Row Version Number

ProductOrder,,,,Product Order
ProductOrder,Comments,varchar,,Comments
ProductOrder,DispensableProduct_ID,bigint,,Reference to DispensableProduct
ProductOrder,DoseText,varchar,50,Dose Text
ProductOrder,Duration,int,,Duration
ProductOrder,DurationUnits,varchar,10,Duration Units
ProductOrder,FrequencyCodes,varchar,200,Frequency Codes
ProductOrder,Indication,varchar,100,Indication
ProductOrder,InfuseOver,decimal,"5,2",Infuse Over
ProductOrder,InfuseOverUnits,varchar,10,Infuse Over Units
ProductOrder,KeepInSyncWithClinicalDatabase,bool,,Is Keep In Sync With Clinical Database?
ProductOrder,PRN,bool,,Is PRN?
ProductOrder,ProductOrder_ID,bigint,,ID for ProductOrder
ProductOrder,RateAmount,decimal,"7,3",Rate Amount
ProductOrder,RateUnits,varchar,10,Rate Units
ProductOrder,RouteCode,varchar,20,Route Code
ProductOrder,RowVersionNumber,int,,Row Version Number

ProductOrderIdentifier,,,,Product Order Identifier
